證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1101,台泥,"9,774,499","4,923","502,441,292",51.6,51.6,51.2,51.5,-,0.1,51.5,38,51.6,"1,245",12.32
1101B,台泥乙特,"3,119",12,"167,076",53.5,53.6,53.5,53.6, ,0,53.2,2,53.5,1,
1102,亞泥,"7,274,980","2,979","375,093,096",51.9,51.9,51.3,51.6,-,0.3,51.6,11,51.7,"1,017",10.1
1103,嘉泥,"1,378,521",616,"30,436,310",22.25,22.4,21.95,22.2,-,0.05,22.2,30,22.25,33,7.74
1104,環泥,"468,921",247,"10,736,042",23.15,23.15,22.75,22.95,+,0.2,22.9,3,22.95,12,10.48
1108,幸福,"944,099",458,"13,305,936",14.2,14.25,13.9,14.05,+,0.05,14.05,34,14.1,14,16.15
1109,信大,"944,137",543,"25,338,285",26.5,27.2,26.25,27.15,+,0.9,27.1,12,27.15,8,7.76
1110,東泥,"259,008",136,"4,081,173",16.05,16.05,15.65,15.75,-,0.3,15.7,21,15.8,3,131.25
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1201,味全,"1,424,255",660,"30,871,471",21.75,21.8,21.55,21.7,+,0.05,21.7,33,21.75,64,18.55
1203,味王,"54,440",69,"1,936,977",35.6,35.75,35.5,35.65, ,0,35.65,26,35.8,2,19.17
1210,大成,"1,733,547","1,226","100,432,607",58,58.5,57.5,58.1,+,0.4,58,33,58.1,58,13.57
1213,大飲,"26,112",12,"228,714",8.72,8.77,8.72,8.76,-,0.25,8.77,5,9.08,2,
1215,卜蜂,"837,976",701,"66,935,796",79.9,80.3,79.3,79.8,+,0.2,79.8,13,79.9,2,11.82
1216,統一,"2,792,597","1,809","206,339,767",73.2,74.4,73.2,74.1,+,0.5,74,10,74.1,18,18.71
